"card_id","card_name","card_type","card_color","mana_cost","rarity","price","set_name","image_url","thumbnail_url"
"0321b706-87b0-4bea-89d3-ec2e7252dc7c","A-Ancestral Katana","Artifact — Equipment","W","{1}{W}","common",-1.0,"Kamigawa: Neon Dynasty","https://cards.scryfall.io/large/front/0/3/0321b706-87b0-4bea-89d3-ec2e7252dc7c.jpg?1681158265","https://cards.scryfall.io/art_crop/front/0/3/0321b706-87b0-4bea-89d3-ec2e7252dc7c.jpg?1681158265"
"0727043a-3121-4055-9cbe-86dced26ed31","Serendib Efreet","Creature — Efreet","U","{2}{U}","rare",0.06,"The List","https://cards.scryfall.io/large/front/0/7/0727043a-3121-4055-9cbe-86dced26ed31.jpg?1573508329","https://cards.scryfall.io/art_crop/front/0/7/0727043a-3121-4055-9cbe-86dced26ed31.jpg?1573508329"
"0743a840-d129-4d30-85dc-6fda3e0dac5c","Augury Owl","Creature — Bird","U","{1}{U}","common",0.21,"The List","https://cards.scryfall.io/large/front/0/7/0743a840-d129-4d30-85dc-6fda3e0dac5c.jpg?1573506903","https://cards.scryfall.io/art_crop/front/0/7/0743a840-d129-4d30-85dc-6fda3e0dac5c.jpg?1573506903"
"07956edf-34c1-4218-9784-ddbca13e380c","Playful Shove","Sorcery","R","{1}{R}","uncommon",0.1,"Bloomburrow","https://cards.scryfall.io/large/front/0/7/07956edf-34c1-4218-9784-ddbca13e380c.jpg?1721426672","https://cards.scryfall.io/art_crop/front/0/7/07956edf-34c1-4218-9784-ddbca13e380c.jpg?1721426672"
"08f79439-b8f8-418f-9772-26d81844749e","Enduring Innocence","Enchantment Creature — Sheep Glimmer","W","{1}{W}{W}","rare",6.58,"Duskmourn: House of Horror","https://cards.scryfall.io/large/front/0/8/08f79439-b8f8-418f-9772-26d81844749e.jpg?1726285879","https://cards.scryfall.io/art_crop/front/0/8/08f79439-b8f8-418f-9772-26d81844749e.jpg?1726285879"
"0b8c7302-a5ae-484e-8ba5-397ffeb3b19c","Gargoyle Flock","Creature — Tyranid Gargoyle","GU","{2}{G}{U}","rare",0.13,"Warhammer 40,000 Commander","https://cards.scryfall.io/large/front/0/b/0b8c7302-a5ae-484e-8ba5-397ffeb3b19c.jpg?1674174528","https://cards.scryfall.io/art_crop/front/0/b/0b8c7302-a5ae-484e-8ba5-397ffeb3b19c.jpg?1674174528"
"0be27d8d-b36a-4c3c-b129-fccc4aa8a17f","Terminate","Instant","BR","{B}{R}","uncommon",0.53,"New Capenna Commander","https://cards.scryfall.io/large/front/0/b/0be27d8d-b36a-4c3c-b129-fccc4aa8a17f.jpg?1673485194","https://cards.scryfall.io/art_crop/front/0/b/0be27d8d-b36a-4c3c-b129-fccc4aa8a17f.jpg?1673485194"
"0c42fded-49e8-4c69-8ade-ba5e76e44b45","Minions' Murmurs","Sorcery","B","{2}{B}{B}","uncommon",0.17,"Time Spiral Remastered","https://cards.scryfall.io/large/front/0/c/0c42fded-49e8-4c69-8ade-ba5e76e44b45.jpg?1619395708","https://cards.scryfall.io/art_crop/front/0/c/0c42fded-49e8-4c69-8ade-ba5e76e44b45.jpg?1619395708"
"0c44599f-f788-43fa-ace3-a521f15256ad","Leshrac's Rite","Enchantment — Aura","B","{B}","uncommon",0.18,"Classic Sixth Edition","https://cards.scryfall.io/large/front/0/c/0c44599f-f788-43fa-ace3-a521f15256ad.jpg?1562814515","https://cards.scryfall.io/art_crop/front/0/c/0c44599f-f788-43fa-ace3-a521f15256ad.jpg?1562814515"
"0c780e37-91b1-4fe1-85c9-7007d91209d5","A-Akki Ronin","Creature — Goblin Samurai","R","{R}","common",-1.0,"Kamigawa: Neon Dynasty","https://cards.scryfall.io/large/front/0/c/0c780e37-91b1-4fe1-85c9-7007d91209d5.jpg?1681158251","https://cards.scryfall.io/art_crop/front/0/c/0c780e37-91b1-4fe1-85c9-7007d91209d5.jpg?1681158251"
"10d0d310-66dd-4732-9eac-a253fe6b9a47","Rain of Daggers","Sorcery","B","{4}{B}{B}","rare",0.23,"The List","https://cards.scryfall.io/large/front/1/0/10d0d310-66dd-4732-9eac-a253fe6b9a47.jpg?1680826592","https://cards.scryfall.io/art_crop/front/1/0/10d0d310-66dd-4732-9eac-a253fe6b9a47.jpg?1680826592"
"11a5871b-377c-4e01-a655-490a0c40679b","Raff, Weatherlight Stalwart","Legendary Creature — Human Wizard","UW","{W}{U}","uncommon",-1.0,"Multiverse Legends","https://cards.scryfall.io/large/front/1/1/11a5871b-377c-4e01-a655-490a0c40679b.jpg?1682201618","https://cards.scryfall.io/art_crop/front/1/1/11a5871b-377c-4e01-a655-490a0c40679b.jpg?1682201618"
"16782095-0b7f-4489-8a97-b74f8efef352","Abundant Harvest","Sorcery","G","{G}","rare",0.22,"Strixhaven Mystical Archive","https://cards.scryfall.io/large/front/1/6/16782095-0b7f-4489-8a97-b74f8efef352.jpg?1662752631","https://cards.scryfall.io/art_crop/front/1/6/16782095-0b7f-4489-8a97-b74f8efef352.jpg?1662752631"
"176d625f-1410-4ad6-a279-9a184fac6507","Spatial Binding","Enchantment","BU","{U}{B}","uncommon",0.24,"Mirage","https://cards.scryfall.io/large/front/1/7/176d625f-1410-4ad6-a279-9a184fac6507.jpg?1562718295","https://cards.scryfall.io/art_crop/front/1/7/176d625f-1410-4ad6-a279-9a184fac6507.jpg?1562718295"
"1933e212-213f-461f-aeb5-4a86a4dae003","Soaring Lightbringer","Enchantment Creature — Bird Glimmer","W","{4}{W}","rare",0.72,"Duskmourn: House of Horror Commander","https://cards.scryfall.io/large/front/1/9/1933e212-213f-461f-aeb5-4a86a4dae003.jpg?1729502933","https://cards.scryfall.io/art_crop/front/1/9/1933e212-213f-461f-aeb5-4a86a4dae003.jpg?1729502933"
"1a67768a-6cd9-4163-b941-752f29c87a8d","Basking Rootwalla","Creature — Lizard","G","{G}","common",0.31,"Torment","https://cards.scryfall.io/large/front/1/a/1a67768a-6cd9-4163-b941-752f29c87a8d.jpg?1562628781","https://cards.scryfall.io/art_crop/front/1/a/1a67768a-6cd9-4163-b941-752f29c87a8d.jpg?1562628781"
"1fa981d3-4a41-4bf1-ba64-2cd7224a6059","Rite of the Dragoncaller","Enchantment","R","{4}{R}{R}","mythic",8.16,"Foundations","https://cards.scryfall.io/large/front/1/f/1fa981d3-4a41-4bf1-ba64-2cd7224a6059.jpg?1730489835","https://cards.scryfall.io/art_crop/front/1/f/1fa981d3-4a41-4bf1-ba64-2cd7224a6059.jpg?1730489835"
"209f7479-b3a0-4c27-9602-78babb8d2e99","Caverns of Despair","World Enchantment","R","{2}{R}{R}","rare",44.79,"Legends","https://cards.scryfall.io/large/front/2/0/209f7479-b3a0-4c27-9602-78babb8d2e99.jpg?1562857778","https://cards.scryfall.io/art_crop/front/2/0/209f7479-b3a0-4c27-9602-78babb8d2e99.jpg?1562857778"
"22c59e0b-5b78-4cf5-9c2a-92ccf833778f","Frenzied Raider","Creature — Demon Berserker","R","{1}{R}","uncommon",0.05,"Kaldheim","https://cards.scryfall.io/large/front/2/2/22c59e0b-5b78-4cf5-9c2a-92ccf833778f.jpg?1631049327","https://cards.scryfall.io/art_crop/front/2/2/22c59e0b-5b78-4cf5-9c2a-92ccf833778f.jpg?1631049327"
"2a83882c-3e03-4e85-aaac-97fa1d08a772","Aarakocra Sneak","Creature — Bird Rogue","U","{3}{U}","common",0.1,"Commander Legends: Battle for Baldur's Gate","https://cards.scryfall.io/large/front/2/a/2a83882c-3e03-4e85-aaac-97fa1d08a772.jpg?1722040128","https://cards.scryfall.io/art_crop/front/2/a/2a83882c-3e03-4e85-aaac-97fa1d08a772.jpg?1722040128"
"2c1392c5-91a5-4e6e-803d-ed032e4d594b","A Killer Among Us","Enchantment","G","{4}{G}","uncommon",0.04,"Murders at Karlov Manor","https://cards.scryfall.io/large/front/2/c/2c1392c5-91a5-4e6e-803d-ed032e4d594b.jpg?1706242059","https://cards.scryfall.io/art_crop/front/2/c/2c1392c5-91a5-4e6e-803d-ed032e4d594b.jpg?1706242059"
"2e6c52da-efc8-4279-b6b5-01e490bcb035","Soaring Show-Off","Creature — Bird Warrior","U","{2}{U}","common",0.08,"Battlebond","https://cards.scryfall.io/large/front/2/e/2e6c52da-efc8-4279-b6b5-01e490bcb035.jpg?1562904446","https://cards.scryfall.io/art_crop/front/2/e/2e6c52da-efc8-4279-b6b5-01e490bcb035.jpg?1562904446"
"32ae984e-5d1e-4497-9a71-7406f78c09f3","River's Rebuke","Sorcery","U","{4}{U}{U}","rare",0.31,"Foundations","https://cards.scryfall.io/large/front/3/2/32ae984e-5d1e-4497-9a71-7406f78c09f3.jpg?1730490856","https://cards.scryfall.io/art_crop/front/3/2/32ae984e-5d1e-4497-9a71-7406f78c09f3.jpg?1730490856"
"333406d5-abcc-4629-a33b-395d0662ba1b","Putrid Goblin","Creature — Zombie Goblin","B","{1}{B}","common",0.34,"Modern Horizons","https://cards.scryfall.io/large/front/3/3/333406d5-abcc-4629-a33b-395d0662ba1b.jpg?1562201696","https://cards.scryfall.io/art_crop/front/3/3/333406d5-abcc-4629-a33b-395d0662ba1b.jpg?1562201696"
"335c5756-c1ac-4251-af0b-e7354a91c28e","Clear the Mind","Sorcery","U","{2}{U}","common",0.18,"The List","https://cards.scryfall.io/large/front/3/3/335c5756-c1ac-4251-af0b-e7354a91c28e.jpg?1573507100","https://cards.scryfall.io/art_crop/front/3/3/335c5756-c1ac-4251-af0b-e7354a91c28e.jpg?1573507100"
"34f0f4cb-1ef6-44cd-8cca-1d1e138c0344","Time Warp","Sorcery","U","{3}{U}{U}","mythic",22.91,"Strixhaven Mystical Archive","https://cards.scryfall.io/large/front/3/4/34f0f4cb-1ef6-44cd-8cca-1d1e138c0344.jpg?1638112246","https://cards.scryfall.io/art_crop/front/3/4/34f0f4cb-1ef6-44cd-8cca-1d1e138c0344.jpg?1638112246"
"3507e128-f8a1-4429-951d-2dc98b225118","Timber Paladin","Artifact Creature — Knight","G","{1}{G}","rare",0.36,"Wilds of Eldraine Commander","https://cards.scryfall.io/large/front/3/5/3507e128-f8a1-4429-951d-2dc98b225118.jpg?1692934455","https://cards.scryfall.io/art_crop/front/3/5/3507e128-f8a1-4429-951d-2dc98b225118.jpg?1692934455"
"36eada9c-1e97-4b64-94fb-42b6bbc35c4a","Ambition's Cost","Sorcery","B","{3}{B}","uncommon",0.25,"Commander 2021","https://cards.scryfall.io/large/front/3/6/36eada9c-1e97-4b64-94fb-42b6bbc35c4a.jpg?1625976618","https://cards.scryfall.io/art_crop/front/3/6/36eada9c-1e97-4b64-94fb-42b6bbc35c4a.jpg?1625976618"
